Number,Japanese,English,Korean,Station
108,西田辺,Nishitanabe,니시타나베,M25,,
109,あびこ,Abiko,아비코,M27,,
110,長居,Nagai,나가이,M26,,
111,長田,Nagata,나가타,C23,,
112,深江橋,Fukaebashi,후카에바시,C21,,
113,朝潮橋,Asashiobashi,아사시오바시,C12,,
114,大阪港,Osakako,오사카코,C11,,
115,夢洲駅,Yumeshima,유메시마,C09,,
116,南巽,Minami-Tatsumi,미나미타쓰미,S24,,
117,北巽,Kita-Tatsumi,키타타쓰미,S23,,
118,小路,Shoji,쇼지,S22,,
119,新深江,Shin-Fukae,신후카에,S21,,
120,玉川,Tamagawa,다마가와,S12,,
121,恵美須町,Ebisucho,에비스초,K18,,
122,扇町,Ogimachi,오기마치,K12,,
123,門真南,Kadoma-Minami,가도마미나미,N27,,
124,鶴見緑地,Tsurumi-Ryokuchi,쓰루미료쿠치,N26,,
125,横堤,Yokozutsumi,요코즈츠미,N25,,
126,今福鶴見,Imafuku-Tsurumi,이마후쿠쓰루미,N24,,
127,大阪ビジネスパーク,Osaka Business Park,오사카비즈니스파크,N21,,
128,玉造,Tamatsukuri,다마쓰쿠리,N19,,
129,松屋町,Matsuyamachi,마츠야마치,N17,,
130,西大橋,Nishiohashi,니시오하시,N14,,
131,関目成育,Sekime-Seiiku,세키메세이이쿠,I17,,
132,新森古市,Shinmori-Furuichi,신모리후루이치,I16,,
133,清水,Shimizu,시미즈,I15,,
134,だいどう豊里,Daido-Toyosato,다이도토요사토,I13,,
135,瑞光四丁目,Zuiko 4-chome,즈이코욘초메,I12,,
136,井高野,Itakano,이타카노,I11,,
137,平林,Hirabayashi,히라바야시,P17,,
138,南港口,Nankoguchi,난코구치,P16,,
139,南港東,Nanko-Higashi,난코히가시,P15,,
140,フェリーターミナル,Ferry Terminal,페리터미널,P14,,
141,ポートタウン東,Port Town East,포트타운이스트,P13,,
142,ポートタウン西,Port Town West,포트타운웨스트,P12,,
143,中ふ頭,Naka-Futo,나카후토,P11,,
144,トレードセンター前,Trade Center-mae,트레이드센터마에,P10,,
145,南海難波,Nankai-Namba,난카이난바,NK01,,
146,天満橋,Temmabashi,텐마바시,"T22,KH03",,
147,北浜,Kitahama,키타하마,"K14,KH02",,
148,福島,Fukushima,후쿠시마,"HS02,O12",,
149,天下茶屋,Tengachaya,텐가차야,"NK05,K20",,
150,野田阪神,Nodahanshin,노다한신,"HS03,S11",,
151,桜川,Sakuragawa,사쿠라가와,"HS42,S15",,
152,九条,Kujo,쿠조,"HS44,C14",,
153,大阪ドーム前,Dome-mae Chiyozaki,돔마에치요자키,"HS43,N12",,
154,今宮,Imamiya,이마미야,"Q18,O18",,
155,住之江公園,Suminoekoen,스미노에코엔,"Y21,P18",,
156,コスモスクエア,Cosmosquare,코스모스퀘어,"C10,P09",,
157,大国町,Daikokucho,다이코쿠초,"M21,Y16",,
158,本町,Hommachi,혼마치,"Y13,C16,M18",,
159,新大阪,Shin-Osaka,신오사카,"A46,M13,F02",,
160,心斎橋,Shinsaibashi,신사이바시,"M19,N15",,
161,動物園前,Dobutsuen-mae,도부쓰엔마에,"K19,M22",,
162,谷町九丁目,Tanimachi 9-chome,타니마치9초메,"T25,S18",,
163,谷町六丁目,Tanimachi 6-chome,타니마치6초메,"T24,N18",,
164,谷町四丁目,Tanimachi 4-chome,타니마치4초메,"T23,C18",,
165,南森町,Minami-Morimachi,미나미모리마치,"K13,T21",,
166,天神橋筋六丁目,Tenjinbashisuji 6-chome,텐진바시스지6초메,"K11,T18",,
167,太子橋今市,Taishibashi-Imaichi,타이시바시이마이치,"I14,T13",,
168,蒲生四丁目,Gamo 4-chome,가모4초메,"I18,N23",,
169,森之宮,Morinomiya,모리노미야,"N20,C19,O06",,
170,長堀橋,Nagahoribashi,나가호리바시,"K16,N16",,
171,大正,Taisho,다이쇼,"N11,O16",,
172,堺筋本町,Sakaisuji-Hommachi,사카이스지혼마치,"K15,C17",,
173,鴫野,Shigino,시기노,"F07,I19,H40",,
174,緑橋,Midoribashi,미도리바시,"I20,C20",,
175,西長堀,Nishinagahori,니시나가호리,"S14,N13",,
176,阿波座,Awaza,아와자,"S13,C15",,
177,新今宮,Shin-Imamiya,신이마미야,"NK03,Q19,O19",,
178,放出,Hanaten,하나텐,"F08,H39",,
179,弁天町,Bentencho,벤텐초,"C13,O15",,
180,塚本,Tsukamoto,츠카모토,"A48,G48",,
181,高井田,Takaida,다카이다,"F09,C22",,
182,久宝寺,Kyuhoji,큐호지,"F15,Q24",,
183,西九条,Nishikujo,니시쿠조,"HS45,O14",,
184,淀屋橋,Yodoyabashi,요도야바시,"M17,KH01",,
185,京橋,Kyobashi,쿄바시,"N22,H41,KH04,O08",,
186,天王寺,Tennoji,텐노지,"M23,T27,O01,Q20,R20,KH-F01",,
187,JR俊徳道,JR-Shuntokumichi,JR슌토쿠미치,"F11,D07",,
188,なんば,Namba,난바,"Y15,KT-A01,S16,M20,HS41",,
189,日本橋,Nipponbashi,닛폰바시,"K17,KT-A02,S17",,
190,JR河内永和,JR-Kawachi-Eiwa,JR카와치에이와,"F10,KT-A07",,
191,鶴橋,Tsuruhashi,츠루하시,"S19,O04,KT-A04",,
192,布施,Fuse,후세,"KT-A06,D06",,
