Number,Japanese,Lat,Lng
171,大正,34.6657822,135.4792475
172,堺筋本町,34.6818289,135.5069759
173,鴫野,34.6927737,135.5450179
174,緑橋,34.6809276,135.5445892
175,西長堀,34.6752108,135.4871747
176,阿波座,34.6812616,135.4942612
177,新今宮,34.6497931,135.5015478
178,放出,34.6931465,135.5570404
179,弁天町,34.6701578,135.4619871
180,塚本,34.7126028,135.4688636
181,高井田,34.6784975,135.5726369
182,久宝寺,34.6223544,135.5843243
183,西九条,34.6821426,135.4661491
184,淀屋橋,34.6929685,135.500987
185,京橋,35.6770333,139.7709587
186,天王寺,34.6634059,135.5188245
187,JR俊徳道,34.6587066,135.5724663
188,なんば,34.6657531,135.5010362
189,日本橋,35.6821193,139.7747086
190,JR河内永和,34.6641814,135.5723455
191,鶴橋,34.66611,135.53045
192,布施,34.664082,135.563416
193,JR尼崎,34.731875,135.43175
