역,허브,거리(m),자전거 예상시간(분)
桜島,梅田,7371,too far
桜島,難波,6251,too far
桜島,天王寺,7630,too far
桜島,本町,6848,too far
桜島,京橋,10332,too far
福島,梅田,1036,6
福島,難波,3391,19
福島,天王寺,6255,too far
福島,本町,1906,13
福島,京橋,4729,26
京橋,梅田,3530,18
京橋,難波,4390,24
京橋,天王寺,6024,too far
京橋,本町,3226,17
京橋,京橋,496,3
日本橋,梅田,4057,22
日本橋,難波,590,4
日本橋,天王寺,2495,14
日本橋,本町,2066,11
日本橋,京橋,4202,24
